Sr. No.,Job Title,Company Name,Experience Required,Salary,Location,Job Description,Key Skills
112,AI / ML Engineer ( Google Cloud),Techneplus,,,"Chennai, Tamil Nadu","
We are looking for a highly capable machine learning engineer to optimize our machine learning systems.
Analyzing the ML algorithms that could be used to solve…
",
113,newLogic Design Engineer,IBM,,,"Bengaluru, Karnataka","
To think along with clients and sell.
As a Logic designer, you will be responsible for E2E development of features with impact to our Mainframe and / or POWER…
",
114,newAssociate Systems Engineer,Dell Technologies,,,"New Delhi, Delhi","
We also take calculated risks and we celebrate big victories when they pay off.
Role Overview Experience: 8+ Yrs Drive the EnterprisePortfolio Business (servers…
",
115,newEngineer I,Amex,,,Maharashtra+2 locations,"
Our Data Engineers know how to use the latest technology to design, evaluate, debug and manage the data that leads to better decisions, a stronger company, and…
",
116,newRADAR -Perception Algorithm Engineer,Aptiv,,,"Bengaluru, Karnataka","
You will be handling the Automotive Algorithm development for Radar Camera Lidar based ADAS systems.
Algorithm development for ADAS and Autonomous Vehicle.
",
117,Analytics*Analytics*N.A.-Team Member,Kotak Securities,,,"Mumbai, Maharashtra","
Develop AI/ML based solutions for product recommendations, mobile app engagement, client lifecycle management.
Hands on in either Python or SQL must.
",
118,DevOps Engineer,New Street Technologies,,,"Bengaluru, Karnataka","
This engineer will lead the DevOps pod, establishing policies, practices, and a framework for how DevOps and SRE, as a part of DevOps, will work now and in the…
",
119,AI & ML Engineer,InTechHub,,,"Remote in Chennai, Tamil Nadu","
IT Software - Data Warehouse and ETL.
TensorFlow, python, opencv and c/c++.
Work on AI/ML/NLP/NLU/Computer Vision projects in Autonomous Driving/ADAS/IoT Space.
",
120,AI Engineer,WHITE FORCE OUTSOURCING SERVICES PRIVATE LIMITED,,,"Vidhana Veedhi, Karnataka","
Lead your project, from feasibility assessment and research through to model development and productionization.
Coaching team members and provide training.
",
121,AI/ML Team Lead,Mozanta,,,"Thiruvananthapuram, Kerala","
Manage a team of AI/ML engineers to drive retail commerce product initiatives.
Work closely with multiple stakeholders to ensure on time/quality AI/ML…
",
122,Full Stack Engineer,Suitable.ai,,,"New Delhi, Delhi","
You'll be part of a cross-functional team that's responsible for the full software development life cycle, from conception to deployment.
",
123,newQA Engineer,Konverge.AI,,,"Remote in Nagpur, Maharashtra","
We are looking for a QA Engineer (Manual+Automation) with an outstanding track record in the field of software quality assurance.
",
124,Speech Engineer,Gnani Innovations,,,"Bengaluru, Karnataka","
Gnani.ai is looking to hire Speech Engineers with 2 to 4 years of experience.
Development of ASR engine using frameworks like ESPNET or FairSeq or Athena or…
",
125,NLP Engineer,Accrete.AI,,,"Mumbai, Maharashtra","
Accrete was launched in 2017 on the back of over a decade of R&D pertaining to the problem of getting a machine to perform cognitive tasks accurately without…
",
126,newSenior Software Engineer,Agniforge Industries,,,"Noida, Uttar Pradesh","
We are looking for a software developer with excellent knowledge of Python, API and AI based face recognition.
Back End Developers: 5 years (Required).
",
127,Field AI Engineer,Graphcore,,,"Hyderabad, Telangana+6 locations","
The IPU's unique architecture means developers can run current machine learning models orders of magnitude faster.
",
128,DataOps Head,Innofin Solutions Pvt. Ltd.,,,"Mumbai, Maharashtra","
The primary responsibilities of this role are to work with business users, technology, enterprise architects, data management owners, data engineers, big data…
",
129,newMachine Learning Engineer - ASR / Automatic Speech Recogniti...,Zoom,,,Remote in India,"
Build and deploy state of the art ML models for NLP use cases - primarily speech.
Build and scale realtime ML services which enable Zoom’s products.
",
130,MLOps Engineer,XenonStack,,,"Chandigarh, Chandigarh","
XenonStack’s Artificial intelligence team is looking for a passionate Machine Learning Ops Engineer to help us discover and implement state-of-the-art solutions…
",
131,DevOps/AWS Engineer,Right Head India,,,"Gurgaon, Haryana","
Job oppoetunities is open for AI Operation Engineer*.
Provide the vital infrastructure and platform to support the deployment and monitoring of ML solutions in…
",
132,newAssociate Process Engineer,BOEING,,,"Bengaluru, Karnataka","
Support Product Line engineers to configure tools.
Responsible for ensuring that the engineers have access to the right set of tools and environment and the…
",
133,Functional Safety Engineer,Intel,,,"Hybrid remote in Bengaluru, Karnataka","
� Understanding of ISO26262 standards � Work closely with the Safety Architects/Design team and have a good understanding of the product architecture and derive…
",
134,Cypress Automation Testing,Prodapt SA,,,"Hyderabad, Telangana","
Enthusiast to learn new tools and technology.
Role Category Quality Assurance and Testing.
Employment Type: Full Time, Permanent.
",
135,AL/DL Engineer,QuEST Global Engineering,,,"Bengaluru, Karnataka","
2+ years of working experience on Deep Learning, Computer Vision.
Knowledge in deep learning topics including detection, classification.
",
